"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IK6Z9J8A","journalArticle","2007","Fortney, J. J.; Marley, M. S.; Barnes, J. W.","Planetary Radii across Five Orders of Magnitude in Mass and Stellar Insolation: Application to Transits","The Astrophysical Journal","","0004-637X, 1538-4357","10.1086/512120","https://iopscience.iop.org/article/10.1086/512120","To aid in the physical interpretation of planetary radii constrained through observations of transiting planets, or eventually direct detections, we compute model radii of pure hydrogen-helium, water, rock, and iron planets, along with various mixtures. Masses ranging from 0.01 Earth masses to 10 Jupiter masses at orbital distances of 0.02–10 AU are considered. For hydrogen-helium rich planets, our models are the ﬁrst to couple planetary evolution to stellar irradiation over a wide range of orbital separations (0.02–10 AU ) through a nongray radiative-convective equilibrium atmosphere model. Stellar irradiation retards the contraction of giant planets, but its effect is not a simple function of the irradiation level: a planet at 1 AU contracts as slowly as a planet at 0.1 AU. We conﬁrm the assertion of Guillot that very old giant planets under modest stellar irradiation (like that received by Jupiter and Saturn) develop isothermal atmospheric radiative zones once the planet’s intrinsic ﬂux drops to a small fraction of the incident ﬂux. For hydrogenhelium planets, we consider cores up to 90% of the total planet mass, comparable to those of Uranus and Neptune. If ‘‘hot Neptunes’’ have maintained their original masses and are not remnants of more massive planets, radii of $0.30–0.45 RJ are expected. Water planets are $40%–50% larger than rocky planets, independent of mass. Finally, we provide tables of planetary radii at various ages and compositions, and for ice-rock-iron planets we ﬁt our results to analytic functions, which will allow for quick composition estimates, given masses and radii, or mass estimates, given only planetary radii. These results will assist in the interpretation of observations for both the current transiting planet surveys as well as upcoming space missions, including COROT and Kepler.","2007-04-20","2021-11-02 10:54:56","2021-11-02 10:54:56","2021-11-02 10:54:56","1661-1672","","2","659","","ApJ","Planetary Radii across Five Orders of Magnitude in Mass and Stellar Insolation","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/EVRGFVKV/Fortney et al. - 2007 - Planetary Radii across Five Orders of Magnitude in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHD22CUL","document","","","","","","","","","","","2021-11-02 10:58:46","2021-11-02 10:58:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LYVDTSA7","journalArticle","2013","Valencia, Diana; Guillot, Tristan; Parmentier, Vivien; Freedman, Richard S.","BULK COMPOSITION OF GJ 1214b AND OTHER SUB-NEPTUNE EXOPLANETS","The Astrophysical Journal","","0004-637X, 1538-4357","10.1088/0004-637X/775/1/10","https://iopscience.iop.org/article/10.1088/0004-637X/775/1/10","GJ 1214b stands out among the detected low-mass exoplanets, because it is, so far, the only one amenable to transmission spectroscopy. Up to date there is no consensus about the composition of its envelope although most studies suggest a high molecular weight atmosphere. In particular, it is unclear if hydrogen and helium are present or if the atmosphere is water dominated. Here, we present results on the composition of the envelope obtained by using an internal structure and evolutionary model to ﬁt the mass and radius data. By examining all possible mixtures of water and H/He, with the corresponding opacities, we ﬁnd that the bulk amount of H/He of GJ 1214b is at most 7% by mass. In general, we ﬁnd the radius of warm sub-Neptunes to be most sensitive to the amount of H/He. We note that all (Kepler-11b,c,d,f, Kepler-18b, Kepler-20b, 55Cnc-e, Kepler-36c, and Kepler-68b) but two (Kepler-11e and Kepler-30b) of the discovered low-mass planets so far have less than 10% H/He. In fact, Kepler-11e and Kepler-30b have 10%–18% and 5%–15% bulk H/He. Conversely, little can be determined about the H2O or rocky content of sub-Neptune planets. We ﬁnd that although a 100% water composition ﬁts the data for GJ 1214b, based on formation constraints the presence of heavier refractory material on this planet is expected, and hence, so is a component lighter than water required. The same is true for Kepler-11f. A robust determination by transmission spectroscopy of the composition of the upper atmosphere of GJ 1214b will help determine the extent of compositional segregation between the atmosphere and the envelope.","2013-08-29","2021-11-18 16:20:49","2021-11-18 16:20:49","2021-11-18 16:20:49","10","","1","775","","ApJ","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/CX24FG4Y/Valencia et al. - 2013 - BULK COMPOSITION OF GJ 1214b AND OTHER SUB-NEPTUNE.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJH6IY37","journalArticle","2010","Guillot, T.","On the radiative equilibrium of irradiated planetary atmospheres","Astronomy and Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/200913396","http://www.aanda.org/10.1051/0004-6361/200913396","Context. The evolution of stars and planets is mostly controlled by the properties of their atmosphere. This is particularly true in the case of exoplanets close to their stars, for which one has to account both for an (often intense) irradiation ﬂux, and from an intrinsic ﬂux responsible for the progressive loss of the inner planetary heat.","2010-09","2021-11-18 16:26:33","2021-11-18 16:26:33","2021-11-18 16:26:33","A27","","","520","","A&A","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/6LMEA23H/Guillot - 2010 - On the radiative equilibrium of irradiated planeta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8NNSD3I","journalArticle","2015","Parmentier, Vivien; Guillot, Tristan; Fortney, Jonathan J.; Marley, Mark S.","A non-grey analytical model for irradiated atmospheres: II. Analytical vs. numerical solutions","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201323127","http://www.aanda.org/10.1051/0004-6361/201323127","Context. The recent discovery and characterization of the diversity of the atmospheres of exoplanets and brown dwarfs calls for the development of fast and accurate analytical models. Aims. We wish to assess the goodness of the diﬀerent approximations used to solve the radiative transfer problem in irradiated atmospheres analytically, and we aim to provide a useful tool for a fast computation of analytical temperature proﬁles that remains correct over a wide range of atmospheric characteristics.","2015-02","2021-11-18 17:32:26","2021-11-18 17:32:26","2021-11-18 17:32:26","A35","","","574","","A&A","A non-grey analytical model for irradiated atmospheres","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/JBT4SSYX/Parmentier et al. - 2015 - A non-grey analytical model for irradiated atmosph.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9ILWANN","journalArticle","2014","Parmentier, Vivien; Guillot, Tristan","A non-grey analytical model for irradiated atmospheres: I. Derivation","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201322342","http://www.aanda.org/10.1051/0004-6361/201322342","Methods. Using the Eddington approximation, we derive an analytical model to account for lines and/or bands in the infrared. Four parameters (instead of two for the semi-grey models) are used: a visible opacity (κv), two infrared opacities, (κ1 and κ2), and β (the fraction of the energy in the beam with opacities κ1). We consider that the atmosphere receives an incident irradiation in the visible with an eﬀective temperature Tirr and at an angle µ∗, and that it is heated from below with an eﬀective temperature Tint. Results. Our non-grey, irradiated line model is found to provide a range of temperatures that is consistent with that obtained by numerical calculations. We ﬁnd that if the stellar ﬂux is absorbed at optical depth larger than τlim = (κR/κ1κ2)(κRκP/3)1/2, it is mainly transported by the channel of lowest opacity whereas if it is absorbed at τ >∼ τlim it is mainly transported by the channel of highest opacity, independently of the spectral width of those channels. For low values of β (expected when lines are dominant), we ﬁnd that the non-grey eﬀects signiﬁcantly cool the upper atmosphere. However, for β >∼ 1/2 (appropriate in the presence of bands with a wavelength-dependence smaller than or comparable to the width of the Planck function), we ﬁnd that the temperature structure is aﬀected down to infrared optical depths unity and deeper as a result of the so-called blanketing eﬀect. Conclusions. The expressions that we derive can be used to provide a proper functional form for algorithms that invert the atmospheric properties from spectral information. Because a full atmospheric structure can be calculated directly, these expressions should be useful for simulations of the dynamics of these atmospheres and of the thermal evolution of the planets. Finally, they should be used to test full radiative transfer models and to improve their convergence.","2014-02","2021-11-18 17:33:16","2021-11-18 17:33:16","2021-11-18 17:33:16","A133","","","562","","A&A","A non-grey analytical model for irradiated atmospheres","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/AN2CD4JB/Parmentier et Guillot - 2014 - A non-grey analytical model for irradiated atmosph.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQGJ2G8H","journalArticle","2009","Fortney, Jonathan J.; Baraffe, Isabelle; Militzer, Burkhard","Giant Planet Interior Structure and Thermal Evolution","arXiv:0911.3154 [astro-ph]","","","","http://arxiv.org/abs/0911.3154","We discuss the interior structure and composition of giant planets, and how this structure changes as these planets cool and contract over time. Here we define giant planets as those that have an observable hydrogen-helium envelope, which includes Jupiter-like planets, which are predominantly H/He gas, and Neptune-like planets which are predominantly composed of elements heavier than H/He. We describe the equations of state of planetary materials and the construction of static structural models and thermal evolution models. We apply these models to transiting planets close to their parent stars, as well as directly imaged planets far from their parent stars. Mechanisms that have been postulated to inflate the radii of close-in transiting planets are discussed. We also review knowledge gained from the study of the solar system's giant planets. The frontiers of giant planet physics are discussed with an eye towards future planetary discoveries.","2009-11-16","2021-11-19 00:26:25","2021-11-19 00:26:25","2021-11-19 00:26:25","","","","","","","","","","","","","","en","","","","","arXiv.org","","arXiv: 0911.3154","","/Users/cwilkinson/Zotero/storage/IJYLW4FS/Fortney et al. - 2009 - Giant Planet Interior Structure and Thermal Evolut.pdf","","","Astrophysics - Earth and Planetary Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI2MPDM2","journalArticle","2010","Guillot, T.","On the radiative equilibrium of irradiated planetary atmospheres","Astronomy and Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/200913396","http://www.aanda.org/10.1051/0004-6361/200913396","Context. The evolution of stars and planets is mostly controlled by the properties of their atmosphere. This is particularly true in the case of exoplanets close to their stars, for which one has to account both for an (often intense) irradiation ﬂux, and from an intrinsic ﬂux responsible for the progressive loss of the inner planetary heat.","2010-09","2021-12-02 08:50:43","2021-12-02 08:50:43","2021-12-02 08:50:43","A27","","","520","","A&A","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/3BYIRNWJ/Guillot - 2010 - On the radiative equilibrium of irradiated planeta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BV7BG8TR","journalArticle","2018","Charnay, B.; Bézard, B.; Baudino, J.-L.; Bonnefoy, M.; Boccaletti, A.; Galicher, R.","A Self-consistent Cloud Model for Brown Dwarfs and Young Giant Exoplanets: Comparison with Photometric and Spectroscopic Observations","The Astrophysical Journal","","1538-4357","10.3847/1538-4357/aaac7d","https://iopscience.iop.org/article/10.3847/1538-4357/aaac7d","We developed a simple, physical, and self-consistent cloud model for brown dwarfs and young giant exoplanets. We compared different parametrizations for the cloud particle size, by ﬁxing either particle radii or the mixing efﬁciency (parameter fsed), or by estimating particle radii from simple microphysics. The cloud scheme with simple microphysics appears to be the best parametrization by successfully reproducing the observed photometry and spectra of brown dwarfs and young giant exoplanets. In particular, it reproduces the L–T transition, due to the condensation of silicate and iron clouds below the visible/near-IR photosphere. It also reproduces the reddening observed for low-gravity objects, due to an increase of cloud optical depth for low gravity. In addition, we found that the cloud greenhouse effect shifts chemical equilibrium, increasing the abundances of species stable at high temperature. This effect should signiﬁcantly contribute to the strong variation of methane abundance at the L–T transition and to the methane depletion observed on young exoplanets. Finally, we predict the existence of a continuum of brown dwarfs and exoplanets for absolute J magnitude=15–18 and J - K color=0–3, due to the evolution of the L–T transition with gravity. This self-consistent model therefore provides a general framework to understand the effects of clouds and appears well-suited for atmospheric retrievals.","2018-02-26","2021-12-03 02:52:22","2021-12-03 02:52:22","2021-12-03 02:52:22","172","","2","854","","ApJ","A Self-consistent Cloud Model for Brown Dwarfs and Young Giant Exoplanets","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/M6GRISQN/Charnay et al. - 2018 - A Self-consistent Cloud Model for Brown Dwarfs and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCXY6JYW","journalArticle","2007","Marley, M. S.; Fortney, J. J.; Hubickyj, O.; Bodenheimer, P.; Lissauer, J. J.","On the Luminosity of Young Jupiters","The Astrophysical Journal","","0004-637X, 1538-4357","10.1086/509759","http://arxiv.org/abs/astro-ph/0609739","Traditional thermal evolution models of giant planets employ arbitrary initial conditions selected more for computational expediency than physical accuracy. Since the initial conditions are eventually forgotten by the evolving planet, this approach is valid for mature planets, if not young ones. To explore the evolution at young ages of jovian mass planets we have employed model planets created by one implementation of the core accretion mechanism as initial conditions for evolutionary calculations. We find that young jovian planets are smaller, cooler, and several to 100 times less luminous than predicted by earlier models. Furthermore the time interval during which the young jupiters are fainter than expected depends on the mass of planet. Jupiter mass planets (1 M_J) align with the conventional model luminosity in as little at 20 million years, but 10 M_J planets can take up to 1 billion years to match commonly cited luminosities, given our implementation of the core accretion mechanism. If our assumptions, especially including our treatment of the accretion shock, are correct, then young jovian planets are substantially fainter at young ages than currently believed. These results have important consequences both for detection strategies and for assigning masses to young jovian planets based on observed luminosities.","2007-01-20","2021-12-06 13:34:29","2021-12-06 13:34:29","2021-12-06 13:34:29","541-549","","1","655","","ApJ","","","","","","","","en","","","","","arXiv.org","","arXiv: astro-ph/0609739","","/Users/cwilkinson/Zotero/storage/7P9VQ6IJ/Marley et al. - 2007 - On the Luminosity of Young Jupiters.pdf","","","Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
